CouncilDistrict,ProjectCount,SumCost
1,166,8246919.79
2,66,5604772.45
3,113,6730063.86
4,52,1695971.59
5,47,5312629.53
6,59,5762516.6
7,55,5208398.74
8,115,8427143.08
9,50,3246756.55
10,99,4938968.76
11,76,3648867.56
12,48,2030146.66
13,46,4223280.57
14,52,3051632.16
15,55,2826139.65
16,50,3194481.25
17,91,10187917.58
18,52,3329421.42
19,135,5322526.59
20,44,2715441.94
21,64,2926637.93
22,81,3634486.43
23,65,3671638.32
24,54,4314033.32
25,73,4639930.68
26,47,3182411.29
27,40,1870874.41
28,52,3359603.51
29,58,5017842.98
30,34,1640567.01
31,58,3896472.5
32,49,1778299.43
33,59,3346574.8
34,63,3507743.21
35,126,6783174.27
